chapter,type,category,root,furigana,ending,kanaForm
0,verb,godan,会,あ,う,あう
0,verb,ichidan,開,あ,ける,あける
0,adjective,i,暖,あたた,かい,あたたかい
0,verb,ichidan,起,お,きる,おきる
0,verb,godan,帰,かえ,る,かえる
0,verb,godan,歩,ある,く,あるく
0,verb,godan,行,い,く,いく
0,verb,godan,書,か,く,かく
0,verb,ichidan,掛,か,ける,かける
0,adjective,i,近,ちか,い,ちかい
0,adjective,i,遠,とお,い,とおい
0,verb,godan,聞,き,く,きく
0,verb,irregular,す,,る,する
0,verb,ichidan,食,た,べる,たべる
0,verb,ichidan,寝,ね,る,ねる
0,verb,godan,飲,の,む,のむ
0,verb,godan,話,はな,す,はなす
0,verb,godan,読,よ,む,よむ
0,adjective,i,寒,さむ,い,さむい
0,verb,godan,分,わ,かる,わかる
0,verb,ichidan,始,はじ,める,はじめる
0,adjective,na,結構,けっこう,,けっこうな
0,adjective,na,残念,ざんねん,,ざんねんな
0,adjective,na,大丈夫,だいじょうぶ,,だいじょうぶな
0,verb,godan,足,た,す,たす
0,verb,godan,出,だ,す,だす
0,verb,godan,立,た,つ,たつ
0,verb,godan,違,ちが,う,ちがう
0,verb,godan,作,つく,る,つくる
0,verb,ichidan,閉,と,じる,とじる
0,verb,godan,走,はし,る,はしる
0,verb,godan,引,ひ,く,ひく
0,adjective,i,ひど,,い,ひどい
0,verb,godan,待,ま,つ,まつ
0,verb,godan,割,わ,る,わる
1,verb,ichidan,生,う,まれる,うまれる
1,verb,godan,探,さが,す,さがす
2,adjective,i,赤,あか,い,あかい
2,adjective,i,新,あたら,しい,あたらしい
2,adjective,i,暑,あつ,い,あつい
2,adjective,i,厚,あつ,い,あつい
2,adjective,i,甘,あま,い,あまい
2,adjective,i,薄,うす,い,うすい
2,adjective,i,うるさ,,い,うるさい
2,adjective,i,多,おお,い,おおい
2,adjective,i,大,おお,きい,おおきい
2,adjective,na,大,おお,きな,おおきな
2,adjective,i,重,おも,い,おもい
2,adjective,i,面白,おもしろ,い,おもしろい
2,adjective,i,軽,かる,い,かるい
2,adjective,i,汚,きたな,い,きたない
2,adjective,i,厳,きび,しい,きびしい
2,adjective,na,嫌,きら,い,きらいな
2,adjective,na,きれい,,,きれいな
2,adjective,na,元気,げんき,,げんきな
2,adjective,na,静,しず,か,しずかな
2,adjective,i,白,しろ,い,しろい
2,adjective,na,親切,しんせつ,,しんせつな
2,adjective,na,好,す,き,すきな
2,adjective,i,少,すく,ない,すくない
2,adjective,i,狭,せま,い,せまい
2,adjective,i,高,たか,い,たかい
2,adjective,na,大嫌,だいきら,い,だいきらいな
2,adjective,na,大好,だいす,き,だいすきな
2,adjective,i,小,ちい,さい,ちいさい
2,adjective,na,小,ちい,さな,ちいさな
2,adjective,i,つまらな,,い,つまらない
2,adjective,i,長,なが,い,ながい
2,adjective,na,にぎやか,,,にぎやかな
2,adjective,i,低,ひく,い,ひくい
2,adjective,i,広,ひろ,い,ひろい
2,adjective,na,不便,ふべん,,ふべんな
2,adjective,i,古,ふる,い,ふるい
2,adjective,na,便利,べんり,,べんりな
2,adjective,na,真面目,まじめ,,まじめな
2,adjective,i,難,むずか,しい,むずかしい
2,adjective,i,やさし,,い,やさしい
2,adjective,i,安,やす,い,やすい
2,adjective,na,有名,ゆうめい,,ゆうめいな
2,adjective,i,若,わか,い,わかい
2,adjective,i,悪,わる,い,わるい
2,adjective,na,エレガント,,,エレガントな
2,adjective,na,タフ,,,タフな
2,adjective,na,ハンサム,,,ハンサムな
2,verb,godan,あ,,る,ある
2,adjective,na,安全,あんぜん,,あんぜんな
2,verb,ichidan,い,,る,いる
2,adjective,i,おかし,,い,おかしい
2,adjective,na,変,へん,,へんな
2,adjective,na,健康,けんこう,,けんこうな
2,adjective,i,楽,たの,しい,たのしい
2,adjective,i,な,,い,ない
2,adjective,i,丸,まる,い,まるい
3,verb,ichidan,浴,あ,びる,あびる
3,verb,godan,洗,あら,う,あらう
3,verb,godan,行,い,く,いく
3,adjective,i,忙,いそが,しい,いそがしい
3,verb,ichidan,着,き,る,きる
3,verb,irregular,来,く,る,くる
3,verb,ichidan,つかれ,,る,つかれる
3,verb,ichidan,出,で,かける,でかける
3,verb,ichidan,出,で,る,でる
3,verb,godan,乗,の,る,のる
3,verb,godan,入,はい,る,はいる
3,verb,godan,働,はたら,く,はたらく
3,adjective,na,暇,ひま,,ひまな
3,verb,godan,磨,みが,く,みがく
3,verb,ichidan,見,み,る,みる
3,verb,godan,休,やす,む,やすむ
3,verb,ichidan,入,い,れる,いれる
3,verb,godan,歌,うた,う,うたう
3,verb,ichidan,教,おし,える,おしえる
3,adjective,na,おしゃべんり,,,おしゃべんりな
3,adjective,i,遅,おそ,い,おそい
3,verb,godan,踊,おど,る,おどる
3,verb,ichidan,降,お,りる,おりる
3,verb,godan,買,か,う,かう
3,verb,ichidan,変,かえ,る,かえる
3,verb,godan,かか,,る,かかる
3,verb,ichidan,着替,きが,える,きがえる
3,verb,ichidan,答,こた,える,こたえる
3,verb,godan,触,さわ,る,さわる
3,verb,ichidan,閉,し,める,しめる
3,verb,godan,知,し,る,しる
3,verb,ichidan,信,しん,じる,しんじる
3,verb,godan,手伝,てつだ,う,てつだう
3,verb,godan,飛,と,ぶ,とぶ
3,verb,godan,泣,な,く,なく
3,verb,godan,眠,ねむ,る,ねむる
3,verb,godan,始,はじ,まる,はじまる
3,verb,godan,間違,まちが,う,まちがう
3,verb,godan,磨,みが,く,みがく
3,verb,ichidan,見,み,せる,みせる
3,verb,godan,持,も,つ,もつ
3,verb,ichidan,止,や,める,やめる
3,verb,godan,笑,わら,う,わらう
4,adjective,i,まず,,い,まずい
4,adjective,i,短,みじか,い,みじかい
4,adjective,i,明,あか,るい,あかるい
4,adjective,na,穏,おだ,やか,おだやかな
4,adjective,i,重,おも,い,おもい
4,verb,godan,泳,およ,ぐ,およぐ
4,adjective,i,暗,くら,い,くらい
4,verb,godan,死,し,ぬ,しぬ
4,adjective,i,涼,すず,しい,すずしい
4,adjective,na,大変,たいへん,,たいへんな
4,verb,godan,使,つか,う,つかう
4,adjective,i,つまらない,,,つまらない
4,adjective,i,強,つよ,い,つよい
4,adjective,i,長,なが,い,ながい
4,adjective,i,早,,い,はやい
4,adjective,i,速,はや,い,はやい
4,verb,godan,吹,ふ,く,ふく
4,adjective,na,不,ふ,まじめ,ふまじめな
4,verb,godan,降,ふ,る,ふる
4,adjective,na,まじめ,,,まじめな
4,adjective,i,短,みじか,い,みじかい
4,adjective,na,有名,ゆうめい,,ゆうめいな
4,adjective,irregular,よ,,い,よい
4,adjective,i,弱,よわ,い,よわい
4,adjective,i,若,わか,い,わかい
4,adjective,na,キュート,,,キュートな
4,adjective,na,スマート,,,スマートな
4,adjective,na,意地悪,いじわる,,いじわるな
4,verb,godan,致,いた,す,いたす
4,verb,godan,いただ,,く,いただく
4,adjective,na,嫌,いや,,いやな
4,adjective,na,陰気,いんき,,いんきな
4,adjective,i,美,うつく,しい,うつくしい
4,verb,ichidan,遅,おく,れる,おくれる
4,verb,godan,な,,る,なる
